Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,515783.156250,534208.000000,506502.968750,515211.375000,515211.375000,506631017087
2018-04-14,513822.218750,531181.312500,511951.500000,521102.187500,521102.187500,338740816896
2018-04-15,521956.281250,544081.875000,521956.281250,543474.437500,543474.437500,342202320000
2018-04-16,544026.437500,546217.562500,518659.781250,527520.562500,527520.562500,368625541079
2018-04-17,528370.875000,543931.812500,517592.562500,518930.250000,518930.250000,453180781194
2018-04-18,521710.718750,538677.437500,517874.250000,536418.312500,536418.312500,429080370331
2018-04-19,536145.625000,546551.750000,534799.250000,546263.250000,546263.250000,465183009546
2018-04-20,545773.937500,587871.250000,544242.687500,585593.937500,585593.937500,558602895768
2018-04-21,585789.875000,595639.125000,572772.375000,588887.375000,588887.375000,499714019532
2018-04-22,590838.937500,595908.562500,581210.187500,582722.875000,582722.875000,438899365170
2018-04-23,582188.625000,594982.062500,581819.187500,594082.125000,594082.125000,460663648378
2018-04-24,594312.312500,646245.312500,593879.250000,643914.000000,643914.000000,709072345496
2018-04-25,644148.437500,647089.250000,588885.312500,591868.500000,591868.500000,741570231708
2018-04-26,593312.375000,620004.875000,583929.562500,620004.875000,620004.875000,599233373800
2018-04-27,620614.062500,625672.000000,598627.375000,598627.375000,598627.375000,503990571572
2018-04-28,595444.750000,626939.312500,594959.875000,622702.312500,622702.312500,519923018538
2018-04-29,622564.375000,634892.562500,612393.000000,627404.937500,627404.937500,589698342790
2018-04-30,627873.187500,631272.250000,608630.312500,614034.562500,614034.562500,576381984000
2018-05-01,614760.187500,615053.187500,591254.812500,609058.687500,609058.687500,515152599388
2018-05-02,608096.187500,617224.750000,602121.187500,615851.125000,615851.125000,503978100264
2018-05-03,615721.125000,653156.687500,611838.937500,649525.750000,649525.750000,680418590270
2018-05-04,646302.000000,653837.312500,639000.062500,648107.750000,648107.750000,549033214819
2018-05-05,648075.750000,665728.250000,647731.000000,658623.000000,658623.000000,511226100712
2018-05-06,657765.125000,664100.750000,632373.375000,645037.187500,645037.187500,482520539629
2018-05-07,644427.187500,645775.437500,619712.625000,629210.125000,629210.125000,496360551860
2018-05-08,629737.812500,635234.437500,612267.937500,620210.562500,620210.562500,498049825976
2018-05-09,619465.750000,631343.187500,608437.687500,628004.250000,628004.250000,486694923212
2018-05-10,628056.750000,631789.750000,607884.562500,608114.562500,608114.562500,464406492939
2018-05-11,608721.000000,608721.000000,565702.687500,568872.000000,568872.000000,572041375739
2018-05-12,568868.687500,583924.937500,554181.687500,573144.500000,573144.500000,459692804670
2018-05-13,573858.875000,591249.500000,565747.125000,587906.375000,587906.375000,395335333105
2018-05-14,587175.812500,599919.687500,563122.500000,588819.187500,588819.187500,497448316289
2018-05-15,588035.625000,600198.250000,575630.562500,579301.562500,579301.562500,456457685145
2018-05-16,578895.187500,579168.812500,556505.625000,567155.625000,567155.625000,458140120244
2018-05-17,567238.250000,572354.250000,545747.187500,548471.125000,548471.125000,397245036053
2018-05-18,548302.375000,562516.062500,540373.812500,560942.187500,560942.187500,391878471291
2018-05-19,561265.812500,569174.500000,556345.062500,560684.500000,560684.500000,320372505298
2018-05-20,560671.625000,582115.437500,557833.250000,578773.312500,578773.312500,352914211925
2018-05-21,579390.625000,582831.250000,569748.312500,573417.437500,573417.437500,351106374350
2018-05-22,573477.375000,573707.562500,544391.500000,546921.437500,546921.437500,349368062069
2018-05-23,546601.812500,547797.437500,513238.656250,516274.687500,516274.687500,443408415945
2018-05-24,516500.125000,528739.875000,500955.125000,517911.812500,517911.812500,412919763753
2018-05-25,518250.375000,522755.468750,500999.875000,506629.906250,506629.906250,329698109644
2018-05-26,507059.281250,514420.187500,497755.906250,498213.750000,498213.750000,274410802032
2018-05-27,498633.687500,499965.281250,492462.125000,499049.562500,499049.562500,274748095265
2018-05-28,499258.843750,499858.468750,478564.500000,480930.062500,480930.062500,339711241314
2018-05-29,480489.968750,510517.062500,477876.375000,506865.781250,506865.781250,384098234313
2018-05-30,506671.781250,513728.812500,493375.468750,499421.656250,499421.656250,331926874359
2018-05-31,499396.687500,512877.906250,496361.000000,505256.937500,505256.937500,345671112151
2018-06-01,505697.218750,510068.250000,497069.531250,505201.750000,505201.750000,329688620406
2018-06-02,504884.875000,515543.656250,502241.437500,512034.718750,512034.718750,330883696282
2018-06-03,511273.687500,519500.093750,509997.562500,517179.562500,517179.562500,325019410975
2018-06-04,517332.281250,519428.375000,501134.375000,503920.375000,503920.375000,334841974835
2018-06-05,503010.343750,512860.718750,496801.000000,512148.937500,512148.937500,332883121572
2018-06-06,511626.343750,513283.156250,501659.406250,511515.468750,511515.468750,313583725108
2018-06-07,511304.281250,517349.062500,511304.281250,517590.187500,517590.187500,302387773687
2018-06-08,518055.281250,518934.968750,510569.906250,514834.593750,514834.593750,285446195118
2018-06-09,515347.750000,518795.312500,508559.281250,508559.281250,508559.281250,259629260882
2018-06-10,506369.593750,506369.593750,452996.406250,458192.062500,458192.062500,391942792478
2018-06-11,459088.062500,466195.312500,451725.062500,465975.343750,465975.343750,320139624359
2018-06-12,465901.125000,466045.531250,441426.843750,444144.718750,444144.718750,314054292660
2018-06-13,445124.468750,448167.593750,424908.593750,429507.218750,429507.218750,341740950754
2018-06-14,429023.625000,453939.250000,428462.875000,451787.687500,451787.687500,347787893883
2018-06-15,451701.750000,452175.500000,437857.031250,439402.562500,439402.562500,269184063184
2018-06-16,439325.656250,448651.937500,435707.843750,445771.156250,445771.156250,217379246972
2018-06-17,445456.031250,448421.875000,442307.812500,442307.812500,442307.812500,211244078923
2018-06-18,443042.812500,461761.750000,438535.406250,458169.781250,458169.781250,274786776000
2018-06-19,458684.812500,466010.875000,456207.468750,462420.750000,462420.750000,277115426500
2018-06-20,462476.750000,464241.281250,451624.468750,461144.218750,461144.218750,264621951999
2018-06-21,461385.125000,463484.468750,456228.656250,457218.562500,457218.562500,239769091113
2018-06-22,457771.562500,458396.625000,407607.875000,412839.187500,412839.187500,344715909857
2018-06-23,413274.187500,422416.281250,412033.031250,418185.906250,418185.906250,232852089600
2018-06-24,418308.031250,422345.687500,395380.187500,418915.375000,418915.375000,309910509342
2018-06-25,418829.906250,430957.187500,416658.437500,425631.656250,425631.656250,374660185448
2018-06-26,425929.281250,428815.937500,416563.281250,416563.281250,416563.281250,224204384849
2018-06-27,415929.562500,424133.406250,414953.125000,422563.812500,422563.812500,226219572012
2018-06-28,422291.375000,423475.250000,404242.031250,406333.781250,406333.781250,238688678405
2018-06-29,405968.281250,428610.625000,400303.281250,425642.625000,425642.625000,271488444595
2018-06-30,425363.375000,442564.156250,425363.375000,438353.812500,438353.812500,311027232333
2018-07-01,438879.500000,440328.593750,430501.906250,437109.375000,437109.375000,327756386048
2018-07-02,436737.000000,459715.875000,432870.562500,454460.312500,454460.312500,302113063597
2018-07-03,453256.531250,459790.843750,441961.031250,447570.750000,447570.750000,320263472499
2018-07-04,449029.406250,465467.906250,442146.781250,453152.718750,453152.718750,286875947156
2018-07-05,453301.093750,465144.562500,450998.718750,457237.593750,457237.593750,344297672024
2018-07-06,457206.562500,461024.656250,449965.562500,459136.812500,459136.812500,296800443597
2018-07-07,458807.250000,472242.531250,452651.718750,471756.781250,471756.781250,272522308404
2018-07-08,471816.625000,473750.625000,464261.031250,466042.937500,466042.937500,232971251303
2018-07-09,466125.500000,469543.781250,461693.187500,462888.562500,462888.562500,255286800307
2018-07-10,462714.156250,464673.031250,434549.500000,435184.062500,435184.062500,278604567999
2018-07-11,435240.437500,442800.968750,435219.812500,439476.437500,439476.437500,250492996903
2018-07-12,439618.687500,439640.718750,420222.031250,426548.906250,426548.906250,258181249270
2018-07-13,426974.843750,431894.031250,423796.906250,427244.031250,427244.031250,260631850383
2018-07-14,427891.281250,431363.031250,425474.968750,429851.468750,429851.468750,200242159396
2018-07-15,429617.250000,438572.968750,428508.343750,435571.750000,435571.750000,225021153208
2018-07-16,435391.593750,462079.531250,435391.593750,462079.531250,462079.531250,323906327614
2018-07-17,461935.593750,505434.968750,456461.968750,500905.562500,500905.562500,407916633232
2018-07-18,500514.187500,517051.031250,499585.875000,505782.906250,505782.906250,418816006278
2018-07-19,506292.093750,517192.687500,500614.468750,515288.000000,515288.000000,352753574154
2018-07-20,515325.281250,522057.625000,503327.656250,505449.343750,505449.343750,339311067403
2018-07-21,505352.468750,511189.000000,499145.437500,509927.812500,509927.812500,256129899802
2018-07-22,509825.375000,518083.312500,507489.937500,509872.843750,509872.843750,253988972399
2018-07-23,509613.000000,534990.062500,509227.437500,530832.812500,530832.812500,353319923199
2018-07-24,531204.562500,580790.187500,530446.625000,580790.187500,580790.187500,501742132897
2018-07-25,577714.750000,580280.062500,555735.062500,562266.062500,562266.062500,401725119399
2018-07-26,561954.000000,569379.875000,540912.812500,545915.750000,545915.750000,336347018459
